Speed,overlimI95,licenseI95
66,1,NJ
66,1,NC
66,1,VA
66,1,NY
66,1,FL
66,1,NC
66,1,VA
66,1,NJ
67,2,MD
67,2,MA
67,2,CT
67,2,NY
67,2,VA
67,2,NY
67,2,MD
67,2,NY
67,2,VA
67,2,NJ
67,2,MD
67,2,MA
67,2,NY
67,2,MD
67,2,PA
67,2,NY
67,2,NY
67,2,NY
67,2,PA
67,2,SC
67,2,NJ
67,2,NC
67,2,CT
67,2,MA
67,2,NJ
67,2,VA
67,2,NY
67,2,NJ
67,2,NJ
67,2,NJ
67,2,VA
67,2,PA
67,2,NY
67,2,NJ
67,2,PA
67,2,NJ
67,2,NJ
67,2,NJ
67,2,NJ
67,2,NJ
67,2,GA
67,2,NJ
67,2,NJ
67,2,NY
67,2,NJ
67,2,NJ
67,2,NJ
67,2,PA
67,2,NJ
67,2,NJ
67,2,NY
67,2,NJ
67,2,CT
68,3,NJ
68,3,NJ
68,3,NY
68,3,CT
68,3,PA
68,3,PA
68,3,NJ
68,3,NJ
68,3,NJ
68,3,NY
68,3,NY
68,3,CT
68,3,NY
68,3,NY
68,3,PA
68,3,NY
68,3,NJ
68,3,NJ
68,3,NJ
68,3,CT
68,3,MA
68,3,VA
68,3,MD
68,3,MD
68,3,NJ
68,3,NY
68,3,NJ
68,3,NC
68,3,SC
68,3,VA
68,3,NJ
68,3,NY
68,3,NY
68,3,NY
68,3,VA
68,3,NJ
68,3,MD
68,3,NY
68,3,NJ
68,3,NJ
68,3,SC
68,3,PA
68,3,VA
68,3,NY
68,3,NJ
68,3,PA
68,3,VA
68,3,NJ
68,3,NJ
68,3,CT
68,3,CT
68,3,NJ
68,3,NJ
68,3,PA
68,3,NJ
68,3,NJ
68,3,NJ
68,3,NC
68,3,DE
68,3,NJ
68,3,MD
68,3,FL
68,3,VA
68,3,NJ
68,3,NJ
68,3,NJ
68,3,MD
68,3,NC
68,3,VA
68,3,NJ
68,3,NJ
68,3,MD
68,3,NJ
68,3,MD
68,3,CT
68,3,NJ
68,3,NJ
68,3,MD
68,3,PA
68,3,PA
68,3,NJ
68,3,NJ
68,3,NJ
68,3,VA
68,3,NJ
68,3,NY
68,3,NJ
68,3,MD
68,3,VA
68,3,CT
68,3,VA
68,3,PA
68,3,NJ
68,3,NY
68,3,MD
68,3,NY
68,3,NJ
68,3,MA
68,3,PA
68,3,PA
68,3,NY
68,3,ME
68,3,NJ
